spec_version,estimand,pheno_type,moderator,moderator_class,outcome,effect_scale,latitude,landscape_type,moderator_value,estimate,std_error,conf_low,conf_high,p_value
A4.3-v1.0,occurrence,EOS,lc_forest_frac,primary,mean_abs_anomaly_crossfit,resistance,35,PA,0.8333333333333333,1.3650886208748203,0.6434671588148789,0.1039161643633423,2.626261077386298,0.0338832697775302
A4.3-v1.0,occurrence,EOS,lc_forest_frac,primary,mean_abs_anomaly_crossfit,resistance,35,UA,0.8333333333333333,1.8969567908737728,0.7306927553704743,0.4648253065833074,3.329088275164239,0.0094286617829127
A4.3-v1.0,occurrence,EOS,lc_forest_frac,primary,mean_abs_anomaly_crossfit,resistance,35,PA,0.875,1.3699598820836485,0.6365148664079604,0.1224136682997223,2.617506095867575,0.0313751021117503
A4.3-v1.0,occurrence,EOS,lc_forest_frac,primary,mean_abs_anomaly_crossfit,resistance,35,UA,0.875,1.9621005737189223,0.7010827766375463,0.5880035813279927,3.3361975661098526,0.0051313269223026
A4.3-v1.0,occurrence,EOS,lc_forest_frac,primary,mean_abs_anomaly_crossfit,resistance,35,PA,0.9166666666666666,1.3642761221080009,0.631695660364225,0.1261753786038737,2.602376865612128,0.0307955327818891
A4.3-v1.0,occurrence,EOS,lc_forest_frac,primary,mean_abs_anomaly_crossfit,resistance,35,UA,0.9166666666666666,2.030019758014688,0.6749989070333638,0.7070462106253943,3.352993305403981,0.0026345678487376
A4.3-v1.0,occurrence,EOS,lc_forest_frac,primary,mean_abs_anomaly_crossfit,resistance,35,PA,0.9583333333333331,1.3515556813427043,0.6305358985447697,0.1157280292353544,2.5873833334500542,0.0320727188492944
A4.3-v1.0,occurrence,EOS,lc_forest_frac,primary,mean_abs_anomaly_crossfit,resistance,35,UA,0.9583333333333331,2.099789209944197,0.6584525008912233,0.8092460226670715,3.3903323972213224,0.0014277774039618
A4.3-v1.0,occurrence,EOS,lc_forest_frac,primary,mean_abs_anomaly_crossfit,resistance,35,PA,1.0,1.3353169001825818,0.6339628238957501,0.0927725978096027,2.5778612025555607,0.0351781638134824
A4.3-v1.0,occurrence,EOS,lc_forest_frac,primary,mean_abs_anomaly_crossfit,resistance,35,UA,1.0,2.170483795690579,0.6558310816773824,0.8850784956609632,3.4558890957201958,0.0009345725249793
A4.3-v1.0,occurrence,EOS,lc_forest_frac,primary,mean_abs_anomaly_crossfit,resistance,45,PA,0.0,-5.711850350092677,0.3313518942104096,-6.361288128954206,-5.062412571231148,1.3767355169844438e-66
A4.3-v1.0,occurrence,EOS,lc_forest_frac,primary,mean_abs_anomaly_crossfit,resistance,45,UA,0.0,-5.276097013049987,0.3497530756371558,-5.961600444780926,-4.590593581319048,2.026427924428086e-51
A4.3-v1.0,occurrence,EOS,lc_forest_frac,primary,mean_abs_anomaly_crossfit,resistance,45,PA,0.0416666666666666,-5.610088961340097,0.3232812330009607,-6.243708534899681,-4.976469387780512,1.853041721190729e-67
A4.3-v1.0,occurrence,EOS,lc_forest_frac,primary,mean_abs_anomaly_crossfit,resistance,45,UA,0.0416666666666666,-5.060154304162502,0.3531649314320609,-5.752344850371899,-4.367963757953105,1.4622991063203136e-46
A4.3-v1.0,occurrence,EOS,lc_forest_frac,primary,mean_abs_anomaly_crossfit,resistance,45,PA,0.0833333333333333,-5.506656053229001,0.3264311747779435,-6.146449399224871,-4.866862707233132,7.572474073112856e-64
A4.3-v1.0,occurrence,EOS,lc_forest_frac,primary,mean_abs_anomaly_crossfit,resistance,45,UA,0.0833333333333333,-4.847412734250367,0.3780618487727005,-5.588400341773488,-4.106425126727245,1.2388025063526497e-37
