baseline,bh_family,block_degrees,bootstrap_se,cluster_excludes_zero,conf_high,conf_high_10,conf_high_5,conf_low,conf_low_10,conf_low_5,contrast,df_constraint,estimate,event_min_days,evidence_freeze_version,gap_days,latitude,n_blocks,n_blocks_10,n_blocks_5,p_value,p_value_bh,pheno_type,record_type,replicates,sign_stability,sign_stability_10,sign_stability_5,spatial_10_excludes_zero,spatial_5_excludes_zero,spatially_robust,spec_version,statistic,std_error,strategy,test
all_year_linear_loo,,,,,7.1177703536171455,,,4.262088756167761,,,event_effect_PA,,5.689929554892453,3,,0,29.5,,,,5.699118111459907e-15,,SOS,primary_curve,,,,,,,,baseline-full-propagation-v1.0,,0.7285035898553844,overlap_weighted_adjusted,
all_year_linear_loo,,,,,7.1663960436200265,,,4.5357654410241,,,event_effect_UA,,5.851080742322063,3,,0,29.5,,,,2.8128564755325957e-18,,SOS,primary_curve,,,,,,,,baseline-full-propagation-v1.0,,0.6710915668211266,overlap_weighted_adjusted,
all_year_linear_loo,,,,,2.0522036350415416,,,-1.7299012601823225,,,UA_minus_PA_event_effect,,0.1611511874296096,3,,0,29.5,,,,0.8673514231193351,,SOS,primary_curve,,,,,,,,baseline-full-propagation-v1.0,,0.9648404065219118,overlap_weighted_adjusted,
all_year_linear_loo,,,,,7.111385487847402,,,4.282929576174645,,,event_effect_PA,,5.697157532011024,3,,0,29.75,,,,2.8884766520087414e-15,,SOS,primary_curve,,,,,,,,baseline-full-propagation-v1.0,,0.7215581342267657,overlap_weighted_adjusted,
all_year_linear_loo,,,,,7.17102885958967,,,4.539087358981879,,,event_effect_UA,,5.855058109285775,3,,0,29.75,,,,2.7738504371659522e-18,,SOS,primary_curve,,,,,,,,baseline-full-propagation-v1.0,,0.6714259857242814,overlap_weighted_adjusted,
all_year_linear_loo,,,,,2.037544434976292,,,-1.7217432804267885,,,UA_minus_PA_event_effect,,0.1579005772747518,3,,0,29.75,,,,0.8692211140887829,,SOS,primary_curve,,,,,,,,baseline-full-propagation-v1.0,,0.9590195904250952,overlap_weighted_adjusted,
all_year_linear_loo,,,,,7.104797237082366,,,4.2936006889194935,,,event_effect_PA,,5.69919896300093,3,,0,30.0,,,,1.911534811387757e-15,,SOS,primary_curve,,,,,,,,baseline-full-propagation-v1.0,,0.717155154466417,overlap_weighted_adjusted,
all_year_linear_loo,,,,,7.177977931129471,,,4.535453304888241,,,event_effect_UA,,5.856715618008856,3,,0,30.0,,,,3.693067265290472e-18,,SOS,primary_curve,,,,,,,,baseline-full-propagation-v1.0,,0.6741258122815337,overlap_weighted_adjusted,
all_year_linear_loo,,,,,2.0328062101215285,,,-1.7177729001056776,,,UA_minus_PA_event_effect,,0.1575166550079254,3,,0,30.0,,,,0.8692360347590636,,SOS,primary_curve,,,,,,,,baseline-full-propagation-v1.0,,0.9567979666492078,overlap_weighted_adjusted,
all_year_linear_loo,,,,,7.097064719263205,,,4.2946297258937225,,,event_effect_PA,,5.695847222578464,3,,0,30.25,,,,1.6242668035902232e-15,,SOS,primary_curve,,,,,,,,baseline-full-propagation-v1.0,,0.7149200228868319,overlap_weighted_adjusted,
