spec_version,gap_days,event_min_days,dose_metric,pheno_type,outcome,model_form,boundary_excluded,latitude,landscape_type,dose,reference_dose,estimate,std_error,conf_low,conf_high,p_value
A3.2-v1.0,0,3,cumulative_days,SOS,mean_anomaly_crossfit,spline,False,35.0,PA,16.0,1.0,11.411343780115203,2.251098697874563,6.999271406636048,15.823416153594358,3.994220454994206e-07
A3.2-v1.0,0,3,cumulative_days,SOS,mean_anomaly_crossfit,spline,False,35.0,PA,16.25,1.0,11.812990377451742,2.2924094489811537,7.31995041962937,16.306030335274116,2.562300060619253e-07
A3.2-v1.0,0,3,cumulative_days,SOS,mean_anomaly_crossfit,spline,False,35.0,PA,16.5,1.0,12.224998527694376,2.33758907956948,7.643408121084059,16.806588934304692,1.6974254751570972e-07
A3.2-v1.0,0,3,cumulative_days,SOS,mean_anomaly_crossfit,spline,False,35.0,PA,16.75,1.0,12.64752357322549,2.3865724026918755,7.969927617452191,17.32511952899879,1.161513841032655e-07
A3.2-v1.0,0,3,cumulative_days,SOS,mean_anomaly_crossfit,spline,False,35.0,PA,17.0,1.0,13.08072085642746,2.4392379872175765,8.299902251759036,17.861539461095884,8.202075276802562e-08
A3.2-v1.0,0,3,cumulative_days,SOS,mean_anomaly_crossfit,spline,False,35.0,PA,17.25,1.0,13.52474571968267,2.495414503180859,8.633823166949274,18.415668272416067,5.965261568164102e-08
A3.2-v1.0,0,3,cumulative_days,SOS,mean_anomaly_crossfit,spline,False,35.0,PA,17.5,1.0,13.979753505373496,2.5548877158902297,8.972265597684842,18.987241413062147,4.455672428294296e-08
A3.2-v1.0,0,3,cumulative_days,SOS,mean_anomaly_crossfit,spline,False,35.0,PA,17.75,1.0,14.445899555882333,2.61740773334432,9.315874665670847,19.57592444609381,3.406184051224022e-08
A3.2-v1.0,0,3,cumulative_days,SOS,mean_anomaly_crossfit,spline,False,35.0,PA,18.0,1.0,14.923339213591548,2.6826961701758663,9.665351338583314,20.18132708859978,2.6545912778572773e-08
A3.2-v1.0,0,3,cumulative_days,SOS,mean_anomaly_crossfit,spline,False,35.0,PA,18.25,1.0,15.412227820883516,2.750452967509091,10.021439063394382,20.80301657837265,2.100376323090268e-08
A3.2-v1.0,0,3,cumulative_days,SOS,mean_anomaly_crossfit,spline,False,35.0,PA,18.5,1.0,15.912720720140632,2.820362689048592,10.384911426264852,21.44053001401641,1.6800495180766192e-08
A3.2-v1.0,0,3,cumulative_days,SOS,mean_anomaly_crossfit,spline,False,35.0,PA,18.75,1.0,16.424973253745264,2.8921001895675618,10.75656104251138,22.09338546497915,1.3528300073473646e-08
A3.2-v1.0,0,3,cumulative_days,SOS,mean_anomaly_crossfit,spline,False,35.0,PA,19.0,1.0,16.949140764079807,2.965335616467304,11.137189753730013,22.7610917744296,1.0921607756479476e-08
A3.2-v1.0,0,3,cumulative_days,SOS,mean_anomaly_crossfit,spline,False,35.0,UA,1.0,1.0,0.0,0.0,0.0,0.0,
A3.2-v1.0,0,3,cumulative_days,SOS,mean_anomaly_crossfit,spline,False,35.0,UA,1.25,1.0,0.130597430420821,0.0966613466338276,-0.058855327678623,0.3200501885202652,0.1766690843114348
A3.2-v1.0,0,3,cumulative_days,SOS,mean_anomaly_crossfit,spline,False,35.0,UA,1.5,1.0,0.261549705998056,0.1931713218284053,-0.1170591276316143,0.6401585396277264,0.175743419730502
A3.2-v1.0,0,3,cumulative_days,SOS,mean_anomaly_crossfit,spline,False,35.0,UA,1.75,1.0,0.3932116718881095,0.2893786837135597,-0.1739601260840749,0.960383469860294,0.1742056835468124
A3.2-v1.0,0,3,cumulative_days,SOS,mean_anomaly_crossfit,spline,False,35.0,UA,2.0,1.0,0.5259381732473978,0.3851324509825922,-0.2289075599561207,1.2807839064509163,0.1720634880158348
A3.2-v1.0,0,3,cumulative_days,SOS,mean_anomaly_crossfit,spline,False,35.0,UA,2.25,1.0,0.660084055232331,0.4802820367619483,-0.2812514392426299,1.601419549707292,0.1693275991315533
A3.2-v1.0,0,3,cumulative_days,SOS,mean_anomaly_crossfit,spline,False,35.0,UA,2.5,1.0,0.7960041629993206,0.5746773868563011,-0.3303428179686214,1.9223511439672627,0.1660120422926337
