pheno_type,latitude_bin,longitude_bin,event_numerator,event_denominator,event_anomaly_sum,event_anomaly_n,latitude,longitude,event_frequency,mean_event_anomaly
EOS,26,109,13,23,-2.77766495812428,0.8428914067932218,26.5,109.5,0.5652173913043478,-3.2954007310288036
EOS,26,110,17,46,0.588674827464179,0.48847191949444047,26.5,110.5,0.3695652173913043,1.2051354519486948
EOS,26,111,56,108,-0.1888849163654865,0.0631599502315573,26.5,111.5,0.5185185185185185,-2.9905805130149052
EOS,26,112,78,148,-1.454126338684564,0.31480913547878453,26.5,112.5,0.527027027027027,-4.619072875610879
EOS,26,113,54,119,0.0742903436102321,0.3268127555061239,26.5,113.5,0.453781512605042,0.22731776027279335
EOS,26,114,51,113,-0.36023470531710133,0.07750165911155926,26.5,114.5,0.45132743362831856,-4.6480902402174875
EOS,26,115,22,39,-0.35829845518359743,0.16836975455748093,26.5,115.5,0.5641025641025641,-2.1280452425989336
EOS,26,116,61,139,-13.654543131386292,2.563424159799924,26.5,116.5,0.43884892086330934,-5.326681142168853
EOS,26,117,107,352,-64.16670260705037,12.709919671003826,26.5,117.5,0.3039772727272727,-5.048552962410855
EOS,26,118,70,224,-9.301900746928581,2.863014278648657,26.5,118.5,0.3125,-3.2489885978909885
EOS,26,119,32,241,-12.923795866032055,1.191846783884619,26.5,119.5,0.13278008298755187,-10.843504417496662
EOS,27,-111,24,64,-22.233792416011504,14.033005588552628,27.5,-110.5,0.375,-1.5843927571830112
EOS,27,-110,33,74,-15.818884800748728,6.728291821082234,27.5,-109.5,0.44594594594594594,-2.3510996879151844
EOS,27,-109,124,327,-20.81653971991714,14.286847636738091,27.5,-108.5,0.37920489296636084,-1.457042186576428
EOS,27,-102,124,248,158.19653858729038,43.11964057914762,27.5,-101.5,0.5,3.668781475506853
EOS,27,-100,55,243,-43.00395338917975,2.3516150570256746,27.5,-99.5,0.22633744855967078,-18.286986750106625
EOS,27,-99,55,114,-14.735320185881891,3.3544617293684755,27.5,-98.5,0.4824561403508772,-4.392752511341372
EOS,27,-98,33,99,-0.701208908668798,0.5126583976100272,27.5,-97.5,0.3333333333333333,-1.3677897639788568
EOS,27,-83,289,1071,112.57804464562854,58.99206765315036,27.5,-82.5,0.2698412698412698,1.9083590239206767
EOS,27,-82,295,1251,-2.066436943212399,45.6578313036438,27.5,-81.5,0.23581135091926458,-0.04525920054042258
EOS,27,-81,51,597,-29.18111462065471,14.03839393672193,27.5,-80.5,0.08542713567839195,-2.078664749841656
EOS,27,-16,47,66,-6.8329668796412015,0.6387920382552792,27.5,-15.5,0.7121212121212122,-10.696700131554483
EOS,27,30,3,5,-53.553817863498296,2.8689545284016953,27.5,30.5,0.6,-18.66666666666666
